ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-328N	DIP-232N|uniprotkb:Q07812	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0045(experimental interaction detection)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18981409|pubmed:DIP-11730S|pubmed:18547146|pubmed:DIP-11423S|pubmed:9194558|pubmed:DIP-209S|pubmed:18981409|pubmed:DIP-11730S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-1E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)		-
DIP-1043N|refseq:NP_000624|uniprotkb:P10415	DIP-1048N|refseq:NP_002871|uniprotkb:P04049	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9194558|pubmed:DIP-209S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-2E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1043N|refseq:NP_000624|uniprotkb:P10415	DIP-368N|uniprotkb:P04637	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9194558|pubmed:DIP-209S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-4E	dip-quality-status:core	dip:0002(small scale)		-
DIP-257N|refseq:NP_001420|uniprotkb:Q09472	DIP-368N|uniprotkb:P04637	 -	-	-	-	MI:0826(x ray scattering)|MI:0077(nuclear magnetic resonance)|MI:0077(nuclear magnetic resonance)|MI:0071(molecular sieving)|MI:0065(isothermal titration calorimetry)|MI:0007(anti tag coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0017(classical fluorescence spectroscopy)	-	pubmed:18391200|pubmed:DIP-4791S|pubmed:19217391|pubmed:DIP-12361S|pubmed:19217391|pubmed:DIP-12361S|pubmed:11070080|pubmed:DIP-3823S|pubmed:19217391|pubmed:DIP-12361S|pubmed:19234109|pubmed:DIP-14455S|pubmed:9194565|pubmed:DIP-302S|pubmed:19217391|pubmed:DIP-12361S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0218(physical interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-6E	dip-quality-status:core	dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)		-
DIP-257N|refseq:NP_001420|uniprotkb:Q09472	DIP-748N|uniprotkb:P43268	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:9194565|pubmed:DIP-302S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-7E	dip-quality-status:core	dip:0002(small scale)		-
DIP-765N|uniprotkb:P16220	DIP-952N|refseq:NP_004371|uniprotkb:Q92793	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:7913207|pubmed:DIP-245S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-8E	dip-quality-status:core	dip:0002(small scale)		-
DIP-952N|refseq:NP_004371|uniprotkb:Q92793	DIP-624N|refseq:NP_001073885|uniprotkb:P10243	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9210395|pubmed:DIP-105S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-9E	dip-quality-status:core	dip:0002(small scale)		-
DIP-150N|refseq:NP_003394|uniprotkb:P25490	DIP-257N|refseq:NP_001420|uniprotkb:Q09472	 -	-	-	-	MI:0013(biophysical)	-	pubmed:9199306|pubmed:DIP-124S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10E	dip-quality-status:core	dip:0002(small scale)		-
DIP-952N|refseq:NP_004371|uniprotkb:Q92793	DIP-331N|uniprotkb:P36956	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:8918891|pubmed:DIP-312S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-11E	dip-quality-status:core	dip:0002(small scale)		-
DIP-327N|uniprotkb:Q04650	DIP-74N|uniprotkb:P15923	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9199284|pubmed:DIP-211S	taxid:10036(Mesocricetus auratus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-12E	dip-quality-status:core	dip:0002(small scale)		-
DIP-951N|uniprotkb:Q9Y618	DIP-278N|uniprotkb:Q60520	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9150137|pubmed:DIP-298S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-13E	dip-quality-status:core	dip:0002(small scale)		-
DIP-704N|refseq:NP_002469|uniprotkb:P15172	DIP-74N|uniprotkb:P15923	 -	-	-	-	MI:0401(biochemical)	-	pubmed:9184158|pubmed:DIP-273S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-14E	dip-quality-status:core	dip:0002(small scale)		-
DIP-704N|refseq:NP_002469|uniprotkb:P15172	DIP-425N|refseq:NP_005602|uniprotkb:Q08999	 -	-	-	-	MI:0401(biochemical)	-	pubmed:9121766|pubmed:DIP-337S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-15E	dip-quality-status:core	dip:0002(small scale)		-
